"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2019",1057.92,1056.48,1062.89,1055.21,"1.23B","0.19%"
"Jan 16, 2019",1055.89,1057.36,1060.81,1046.53,"1.61B","0.18%"
"Jan 15, 2019",1054.01,1061.84,1064.69,1051.25,"887.58M","-0.40%"
"Jan 14, 2019",1058.27,1065.25,1066.63,1055.72,"1.08B","-1.04%"
"Jan 11, 2019",1069.42,1065.76,1069.69,1061.51,"1.19B","0.59%"
"Jan 10, 2019",1063.19,1064.02,1071.57,1055.49,"1.18B","-0.15%"
"Jan 09, 2019",1064.82,1075.28,1079.45,1061.87,"1.14B","-0.22%"
"Jan 08, 2019",1067.20,1067.45,1070.39,1062.44,"797.26M","0.02%"
"Jan 07, 2019",1066.99,1061.63,1071.14,1059.24,"1.11B","1.20%"
"Jan 04, 2019",1054.29,1041.26,1055.23,1034.66,"1.19B","1.23%"
"Jan 03, 2019",1041.49,1051.31,1055.91,1038.39,"915.78M","-0.50%"
"Jan 02, 2019",1046.71,1048.13,1054.00,1044.96,"790.07M","0.17%"
"Dec 28, 2018",1044.92,1035.67,1045.73,1034.58,"854.13M","1.07%"
"Dec 27, 2018",1033.81,1061.32,1063.67,1031.45,"1.22B","-0.66%"
"Dec 26, 2018",1040.71,1040.17,1044.26,1034.62,"819.01M","0.06%"
"Dec 25, 2018",1040.06,1052.17,1052.51,1038.19,"771.75M","-2.27%"
"Dec 24, 2018",1064.26,1061.48,1071.49,1060.55,"664.08M","-0.26%"
"Dec 21, 2018",1067.01,1061.00,1072.02,1058.47,"1.26B","0.07%"
"Dec 20, 2018",1066.22,1063.33,1067.24,1056.07,"850.40M","-0.21%"
"Dec 19, 2018",1068.47,1055.13,1069.24,1050.87,"1.05B","1.20%"
"Dec 18, 2018",1055.76,1063.25,1064.58,1053.34,"788.22M","-1.19%"
"Dec 17, 2018",1068.52,1074.95,1077.35,1062.04,"880.63M","-0.29%"
"Dec 14, 2018",1071.65,1072.81,1078.90,1065.89,"813.06M","-0.24%"
"Dec 13, 2018",1074.20,1092.27,1094.89,1072.54,"1.04B","-1.38%"
"Dec 12, 2018",1089.20,1094.40,1096.38,1087.31,"748.84M","0.22%"
"Dec 11, 2018",1086.83,1097.24,1098.18,1086.31,"981.03M","-1.16%"
"Dec 07, 2018",1099.57,1105.85,1107.91,1098.01,"735.01M","-0.39%"
"Dec 06, 2018",1103.85,1102.95,1107.87,1100.21,"843.46M","-1.32%"
"Dec 04, 2018",1118.59,1119.10,1122.34,1114.91,"1.13B","0.07%"
"Dec 03, 2018",1117.86,1108.31,1120.70,1106.31,"1.32B","2.41%"
"Nov 30, 2018",1091.55,1091.47,1097.81,1085.36,"1.01B","0.34%"
"Nov 29, 2018",1087.85,1095.18,1098.90,1086.38,"724.47M","-0.25%"
